,Date,DF type,Lambda,Mu,Delta,MeanSpread,Volatility,SimSpread,SimVolatility
106,11/10,tempo_segno_volume.csv,0.0031579008077530562,0.09589407297486034,0.19314302755104787,71.08870281010502,6.142190827531891,183.628756,18.797572720898845
107,12/10,tempo_segno_volume.csv,0.0051930624203425655,0.08331214689265538,0.15855685401595251,44.29276269017489,3.8723407330874897,92.926008,8.605603268383643
108,13/10,tempo_segno_volume.csv,0.005478867829491155,0.06834549439705477,0.15853789410896577,46.91454208802165,4.6647431933418435,83.091736,7.132149727474842
109,14/10,tempo_segno_volume.csv,0.004162565339992173,0.05912967591474806,0.17316952947398623,54.766883886255904,6.511476677966218,118.043582,11.001288949787526
110,15/10,tempo_segno_volume.csv,0.0035930971470808652,0.07066424389259035,0.1786755738963887,63.129774072081766,7.353800329568051,142.125136,13.969726278868338
111,18/10,tempo_segno_volume.csv,0.002242122160792168,0.060583300927726236,0.1762104385348361,94.79870387514879,13.643395062666002,216.751608,21.650005391349602
112,19/10,tempo_segno_volume.csv,0.0030904638570581847,0.0693868964716806,0.1643685705280382,71.42106638787246,7.6210078608790095,150.239632,13.834780457322069
113,20/10,tempo_segno_volume.csv,0.003714853074391955,0.06658310520852934,0.19526548383335182,52.202386751095965,6.0725315531554225,141.170846,15.320779808893146
114,21/10,tempo_segno_volume.csv,0.004264183653496631,0.07669612502326258,0.17639724470144877,48.62171398527865,12.405543725272278,122.038132,12.310045433483873
115,22/10,tempo_segno_volume.csv,0.0031820207870479826,0.06271325269722262,0.23999749707416423,51.922166321396865,7.327349676790922,200.491128,26.55878822985839
116,25/10,tempo_segno_volume.csv,0.004677751927715282,0.05056712375148129,0.19706242256275244,36.204312865497066,3.045570239017583,113.606252,13.210837390281098
117,26/10,tempo_segno_volume.csv,0.004026487048383221,0.06244474754363365,0.14317673650967136,44.240255591054314,3.365641960035702,104.178722,10.291104523503035
118,28/10,tempo_segno_volume.csv,0.005571268950020935,0.06179861403595972,0.1852358436587081,37.21204224386231,6.80467240427432,92.727708,9.621112026766617
119,29/10,tempo_segno_volume.csv,0.004562580238419735,0.08364619291187579,0.16667698201915584,43.61042793900639,5.535870979126968,108.988006,10.999258473523293
120,1/10,tempo_segno_volume_prezzo.csv,0.005265714550964132,0.05592613851942305,0.16891408733750815,38.0429172510519,7.261730093948644,89.037756,8.827365283296919
121,4/10,tempo_segno_volume_prezzo.csv,0.004827491804339674,0.06410869593255461,0.17160051940800447,47.15006483555346,9.832316481465025,101.524592,9.406633136754825
122,5/10,tempo_segno_volume_prezzo.csv,0.0032938794753849887,0.07116671591156622,0.1806486087455223,71.28600777753319,9.05763453240254,158.519032,15.113662820296332
123,6/10,tempo_segno_volume_prezzo.csv,0.0016387758457647866,0.05739153990906905,0.18437285953379418,151.2275723703067,26.366326254479393,297.329708,27.61336889979714
124,7/10,tempo_segno_volume_prezzo.csv,0.0020676387049648657,0.07602318898503994,0.15346803091358202,126.51283388377078,12.75029909051825,224.446288,19.37268385128295
125,8/10,tempo_segno_volume_prezzo.csv,0.0023550048804592927,0.07401683358193054,0.1567351721252791,93.74254495788753,12.014150497636187,196.651574,18.619239749575645
126,11/10,tempo_segno_volume_prezzo.csv,0.003292963775090763,0.08888484338199319,0.1928991553254634,71.08870281010502,6.142190827531891,170.954842,17.38447350194529
127,12/10,tempo_segno_volume_prezzo.csv,0.005381411834551882,0.07567108691197565,0.16144783620369008,44.29276269017489,3.8723407330874897,89.297132,8.04734583695457
128,13/10,tempo_segno_volume_prezzo.csv,0.005584959322731647,0.06303378502548627,0.16075721688956957,46.91454208802165,4.6647431933418435,83.808438,7.039462451640979
129,14/10,tempo_segno_volume_prezzo.csv,0.0042928782084176885,0.0515723200449592,0.17574469017819958,54.766883886255904,6.511476677966218,109.611254,10.217545341052595
130,15/10,tempo_segno_volume_prezzo.csv,0.003726258410697556,0.06393825953031376,0.18068686558527064,63.129774072081766,7.353800329568051,134.651554,12.741136239484506
131,18/10,tempo_segno_volume_prezzo.csv,0.0022997664370203543,0.057674503413144305,0.1763365755123259,94.79870387514879,13.643395062666002,208.257684,20.166619594892243
132,19/10,tempo_segno_volume_prezzo.csv,0.003173096580508938,0.06323268735197296,0.1664583903082747,71.42106638787246,7.6210078608790095,149.586224,13.832518070731458
133,20/10,tempo_segno_volume_prezzo.csv,0.0038367086110402382,0.058435961170161074,0.19849054212084788,52.202386751095965,6.0725315531554225,141.528756,15.239839057725938
134,21/10,tempo_segno_volume_prezzo.csv,0.004346983336088799,0.0697176405481166,0.1794390172155007,48.62171398527865,12.405543725272278,119.720136,12.272946926083096
135,22/10,tempo_segno_volume_prezzo.csv,0.0032840570830697108,0.0547666711614061,0.24589589420257751,51.922166321396865,7.327349676790922,192.6817,25.2186897749393
136,25/10,tempo_segno_volume_prezzo.csv,0.004812170086557675,0.045741901776384535,0.1980523933616788,36.204312865497066,3.045570239017583,107.917626,12.617852587520899
137,26/10,tempo_segno_volume_prezzo.csv,0.0041315739356349804,0.0552366265809662,0.14462817100890404,44.240255591054314,3.365641960035702,101.054632,9.73784127263868
138,28/10,tempo_segno_volume_prezzo.csv,0.005731074752299376,0.0546380267059919,0.1885698688717004,37.21204224386231,6.80467240427432,89.728188,9.173181143665733
139,29/10,tempo_segno_volume_prezzo.csv,0.0047743587068242,0.07357145995986465,0.17038084188118463,43.61042793900639,5.535870979126968,106.45861,10.69920384635819
140,1/10,tempo_volume.csv,0.0050279197097984575,0.07384935956364527,0.15954558473693004,38.0429172510519,7.261730093948644,93.039304,9.310560663734476
141,4/10,tempo_volume.csv,0.004610654111000539,0.08609183827446779,0.16227240108865085,47.15006483555346,9.832316481465025,107.710006,10.23411136709343
142,5/10,tempo_volume.csv,0.0031341906730327496,0.08793576434064747,0.1727062946782359,71.28600777753319,9.05763453240254,166.57238,16.31428532948384
143,6/10,tempo_volume.csv,0.0015917489357332745,0.06707605346292786,0.17877316001232568,151.2275723703067,26.366326254479393,312.318864,30.196339109862162
144,7/10,tempo_volume.csv,0.0019751541720451475,0.09638572904375943,0.14446469862951014,126.51283388377078,12.75029909051825,237.010324,19.923287162884108
145,8/10,tempo_volume.csv,0.002272478046151679,0.0842689213168484,0.15326116635370948,93.74254495788753,12.014150497636187,205.670736,18.990089671905487
146,11/10,tempo_volume.csv,0.0031671796543967967,0.10329997428307226,0.18553082324153292,71.08870281010502,6.142190827531891,176.859762,17.78098855033397
