DateTime,Seconds,Sign,MidPrice
2021-10-01 10:07:35+00:00,36455.0,1.0,133.625
2021-10-01 10:07:41+00:00,36461.0,1.0,133.625
2021-10-01 10:11:39+00:00,36699.0,-1.0,133.625
2021-10-01 10:14:03+00:00,36843.0,-1.0,133.21499999999995
2021-10-01 10:14:06+00:00,36846.0,-1.0,133.15
2021-10-01 10:14:07+00:00,36847.0,-1.0,133.075
2021-10-01 10:15:10+00:00,36910.0,-1.0,133.275
2021-10-01 10:15:19+00:00,36919.0,1.0,133.175
2021-10-01 10:15:24+00:00,36924.0,1.0,133.175
2021-10-01 10:15:26+00:00,36926.0,1.0,133.175
2021-10-01 10:15:38.169000+00:00,36938.169,-1.0,133.225
2021-10-01 10:15:46.795000+00:00,36946.795,1.0,132.85
2021-10-01 10:18:30.139000+00:00,37110.139,-1.0,133.0
2021-10-01 10:18:30+00:00,37110.0,-1.0,133.0
2021-10-01 10:18:32+00:00,37112.0,1.0,132.55
2021-10-01 10:18:38.442000+00:00,37118.442,-1.0,132.75
2021-10-01 10:22:44+00:00,37364.0,1.0,133.15
2021-10-01 10:22:50+00:00,37370.0,1.0,133.1
2021-10-01 10:23:51+00:00,37431.0,1.0,133.25
2021-10-01 10:25:43.982000+00:00,37543.982,-1.0,133.45
2021-10-01 10:30:43+00:00,37843.0,-1.0,133.14499999999998
2021-10-01 10:33:30.086000+00:00,38010.086,1.0,133.17000000000002
2021-10-01 10:35:43+00:00,38143.0,1.0,133.15
2021-10-01 10:35:49.031000+00:00,38149.031,-1.0,133.275
2021-10-01 10:35:49.538000+00:00,38149.538,1.0,133.15
2021-10-01 10:35:49.697000+00:00,38149.697,1.0,133.15
2021-10-01 10:35:49+00:00,38149.0,-1.0,133.275
2021-10-01 10:36:01+00:00,38161.0,-1.0,132.965
2021-10-01 10:39:18+00:00,38358.0,-1.0,133.1
2021-10-01 10:39:31+00:00,38371.0,-1.0,133.1
2021-10-01 10:42:46.873000+00:00,38566.873,-1.0,133.125
2021-10-01 10:42:46.873000+00:00,38566.873,-1.0,133.125
2021-10-01 10:43:10+00:00,38590.0,1.0,133.125
2021-10-01 10:46:06.839000+00:00,38766.839,1.0,133.25
2021-10-01 10:46:11+00:00,38771.0,1.0,133.25
2021-10-01 10:46:13+00:00,38773.0,1.0,133.25
2021-10-01 10:46:15+00:00,38775.0,1.0,133.25
2021-10-01 10:47:54+00:00,38874.0,1.0,133.425
2021-10-01 10:49:48.996000+00:00,38988.996,1.0,133.45
2021-10-01 10:49:49+00:00,38989.0,1.0,133.45
2021-10-01 10:49:51+00:00,38991.0,1.0,133.45
2021-10-01 10:52:34.074000+00:00,39154.074,-1.0,133.75
2021-10-01 10:52:37.987000+00:00,39157.987,-1.0,133.75
2021-10-01 10:53:47+00:00,39227.0,1.0,133.625
2021-10-01 10:53:47+00:00,39227.0,1.0,133.625
2021-10-01 10:53:49+00:00,39229.0,1.0,133.625
2021-10-01 10:53:49+00:00,39229.0,1.0,133.625
2021-10-01 10:58:07.983000+00:00,39487.983,1.0,133.8
2021-10-01 10:58:14.342000+00:00,39494.342,1.0,133.825
2021-10-01 10:58:14+00:00,39494.0,1.0,133.825
2021-10-01 11:00:41+00:00,39641.0,1.0,134.1
2021-10-01 11:11:37.815000+00:00,40297.815,-1.0,134.55
2021-10-01 11:12:59.947000+00:00,40379.947,1.0,134.375
2021-10-01 11:13:21.243000+00:00,40401.243,-1.0,134.6
2021-10-01 11:14:42+00:00,40482.0,1.0,134.4
2021-10-01 11:17:31.712000+00:00,40651.712,1.0,134.39999999999998
2021-10-01 11:17:31.712000+00:00,40651.712,1.0,134.39999999999998
2021-10-01 11:20:39.355000+00:00,40839.355,1.0,134.4
2021-10-01 11:21:51.193000+00:00,40911.193,-1.0,134.4
2021-10-01 11:21:51.193000+00:00,40911.193,-1.0,134.4
2021-10-01 11:22:41+00:00,40961.0,-1.0,134.375
2021-10-01 11:22:57+00:00,40977.0,-1.0,134.4
2021-10-01 11:23:00+00:00,40980.0,-1.0,134.4
2021-10-01 11:23:08+00:00,40988.0,-1.0,134.4
2021-10-01 11:23:35+00:00,41015.0,-1.0,134.25
2021-10-01 11:24:48.807000+00:00,41088.807,-1.0,134.2
2021-10-01 11:25:18.853000+00:00,41118.853,-1.0,134.2
2021-10-01 11:25:18.853000+00:00,41118.853,1.0,134.2
2021-10-01 11:25:18.853000+00:00,41118.853,-1.0,134.2
2021-10-01 11:25:21.645000+00:00,41121.645,1.0,134.2
2021-10-01 11:32:58+00:00,41578.0,-1.0,134.45
2021-10-01 11:33:19.580000+00:00,41599.58,1.0,134.45
2021-10-01 11:33:21.637000+00:00,41601.637,1.0,134.45499999999998
2021-10-01 11:33:23.692000+00:00,41603.692,-1.0,134.53
2021-10-01 11:33:23.802000+00:00,41603.802,1.0,134.45499999999998
2021-10-01 11:33:23.933000+00:00,41603.933,1.0,134.45499999999998
2021-10-01 11:33:26+00:00,41606.0,1.0,134.45499999999998
2021-10-01 11:33:30+00:00,41610.0,1.0,134.45499999999998
2021-10-01 11:33:33+00:00,41613.0,1.0,134.45499999999998
2021-10-01 11:33:37+00:00,41617.0,1.0,134.45499999999998
2021-10-01 11:33:37+00:00,41617.0,1.0,134.45499999999998
2021-10-01 11:33:37+00:00,41617.0,1.0,134.45499999999998
2021-10-01 11:33:38+00:00,41618.0,-1.0,134.45499999999998
2021-10-01 11:33:38+00:00,41618.0,-1.0,134.45499999999998
2021-10-01 11:33:39+00:00,41619.0,-1.0,134.45
2021-10-01 11:34:16.750000+00:00,41656.75,-1.0,134.575
2021-10-01 11:34:54+00:00,41694.0,1.0,134.525
2021-10-01 11:35:06+00:00,41706.0,1.0,134.575
2021-10-01 11:35:10+00:00,41710.0,1.0,134.575
2021-10-01 11:37:54+00:00,41874.0,1.0,134.725
2021-10-01 11:38:50.545000+00:00,41930.545,1.0,134.725
2021-10-01 11:40:39.491000+00:00,42039.491,-1.0,134.89
2021-10-01 11:41:21.575000+00:00,42081.575,1.0,134.89
2021-10-01 11:43:53.574000+00:00,42233.574,1.0,134.89
2021-10-01 11:44:08.428000+00:00,42248.428,1.0,134.89
2021-10-01 11:44:28.232000+00:00,42268.232,1.0,134.95
2021-10-01 11:47:32.545000+00:00,42452.545,-1.0,135.1
2021-10-01 11:47:32+00:00,42452.0,-1.0,135.1
2021-10-01 11:51:59.605000+00:00,42719.605,1.0,134.825
2021-10-01 11:55:16+00:00,42916.0,-1.0,134.75
2021-10-01 11:55:16+00:00,42916.0,-1.0,134.75
2021-10-01 11:55:31+00:00,42931.0,1.0,134.55
2021-10-01 11:55:42.994000+00:00,42942.994,1.0,134.525
2021-10-01 11:56:09+00:00,42969.0,-1.0,134.5
2021-10-01 11:56:09+00:00,42969.0,-1.0,134.5
2021-10-01 11:57:02.697000+00:00,43022.697,-1.0,134.5
2021-10-01 11:57:12.940000+00:00,43032.94,-1.0,134.4
2021-10-01 11:57:23+00:00,43043.0,-1.0,134.4
2021-10-01 11:57:26+00:00,43046.0,-1.0,134.3
2021-10-01 11:57:41+00:00,43061.0,1.0,134.15
2021-10-01 11:57:41+00:00,43061.0,1.0,134.15
2021-10-01 12:00:52.224000+00:00,43252.224,-1.0,134.45
2021-10-01 12:03:46+00:00,43426.0,-1.0,134.2
2021-10-01 12:06:15.998000+00:00,43575.998,1.0,134.25
2021-10-01 12:07:58.465000+00:00,43678.465,1.0,134.25
2021-10-01 12:08:10.365000+00:00,43690.365,-1.0,134.25
2021-10-01 12:08:23.166000+00:00,43703.166,1.0,134.275
2021-10-01 12:09:12.337000+00:00,43752.337,-1.0,134.25
2021-10-01 12:09:53.324000+00:00,43793.324,-1.0,134.425
2021-10-01 12:11:08+00:00,43868.0,-1.0,134.225
2021-10-01 12:13:00+00:00,43980.0,1.0,134.27499999999998
2021-10-01 12:13:34+00:00,44014.0,1.0,134.2
2021-10-01 12:13:49+00:00,44029.0,-1.0,134.2
